symbol,symbolName,buy,bestBidSize,sell,bestAskSize,changeRate,changePrice,open,high,low,vol,volValue,last,lastSize,averagePrice,takerFeeRate,makerFeeRate,takerCoefficient,makerCoefficient,trade_time
BTC-USDT,BTC-USDT,97546.7,0.60884276,97546.8,0.07077,0.0327,3095.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97543,0.00134557,95022.93037052,0.001,0.001,1,1,1768424630141
BTC-USDT,BTC-USDT,97546.7,0.60884276,97546.8,0.07077,0.0327,3095.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97543,0.00134557,95022.93037052,0.001,0.001,1,1,1768424630409
BTC-USDT,BTC-USDT,97538,0.32067495,97538.1,0.39468279,0.0327,3090.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97538,0.00044046,95022.93037052,0.001,0.001,1,1,1768424630691
BTC-USDT,BTC-USDT,97546.7,0.62452331,97546.8,0.14403757,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.01033394,95022.93037052,0.001,0.001,1,1,1768424630964
BTC-USDT,BTC-USDT,97546.7,0.60884276,97546.8,0.07077,0.0327,3095.7,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97543,0.00134557,95022.93037052,0.001,0.001,1,1,1768424631235
BTC-USDT,BTC-USDT,97546.7,0.62398042,97546.8,0.1537015,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.00054289,95022.93037052,0.001,0.001,1,1,1768424631519
BTC-USDT,BTC-USDT,97546.7,0.62398042,97546.8,0.1537015,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.00054289,95022.93037052,0.001,0.001,1,1,1768424631816
BTC-USDT,BTC-USDT,97546.7,0.62398042,97546.8,0.1537015,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.00054289,95022.93037052,0.001,0.001,1,1,1768424632105
BTC-USDT,BTC-USDT,97546.7,0.55074415,97546.8,0.37433689,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424632370
BTC-USDT,BTC-USDT,97546.7,0.55074415,97546.8,0.37433689,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424632653
BTC-USDT,BTC-USDT,97546.7,0.41574415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424633512
BTC-USDT,BTC-USDT,97546.7,0.55074415,97546.8,0.37433689,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424633837
BTC-USDT,BTC-USDT,97546.7,0.41574415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11487.601240339101036,1102293100.8921661236587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424634102
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424634393
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424634689
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29177568,0.0328,3099.5,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.8,0.00185029,95022.93037052,0.001,0.001,1,1,1768424635072
BTC-USDT,BTC-USDT,97546.7,0.42074415,97546.8,0.29382597,0.0328,3099.4,94447.3,97958.2,94076.6,11488.005884719101036,1102332570.4770852136587648,97546.7,0.02051556,95022.93037052,0.001,0.001,1,1,1768424635331
